id,title,bibtext,publisher,date,count,unit,externalsource
AHSP,Abba Hillel Silver Papers.," (Cleveland, Ohio: Western Reserve Historical Society,1994. 235 reels).","Cleveland, Ohio: Western Reserve Historical Society",1994,235,reels,
ara,AIDS Research Archives: Observations on Social & Political Change 1980-1990.," (Eastchester, NY: Jerry Alper, Inc., c1994. 136 microfiches).","Eastchester, NY: Jerry Alper, Inc.",c1994,136,microfiches,
AACH,African American Culture and History: The L.S. Alexander Gumby Collection of Negroiana : From the Holdings of the Rare Book & Manuscript Library of Columbia University in the City of New York.," (Woodbridge, CT: Primary Source Microfilm, 2003. 21 reels).","Woodbridge, CT: Primary Source Microfilm",2003,21,reels,
ATWEYES,"Africa Through Western Eyes: Manuscript Records of Traders, Travellers, Soldiers, Missionaries and Diplomats in Africa."," (Marlborough, Wiltshire, England: Adam Matthew Publications, 1999. 34 reels).","Marlborough, Wiltshire, England: Adam Matthew Publications",1999,34,reels,
ALLUPC,"The All-Union Population Census, 1939: Federal Archival Service of Russia: From the Holdings of the Russian State Economic Archive, Moscow, Russia."," (Woodbridge, CT: Research Publications, [2001]. 318 reels).","Woodbridge, CT: Research Publications",[2001],318,reels,
aba,American Biographical Archive., (London; New York: K.G. Saur) Series I: Fiche B1209 in Main Reading Room Series II: Fiche B2801 in Main Reading Room,London; New York: K.G. Saur,1987,1556,microfiches,https://www.worldcat.org/title/american-biographical-archive/oclc/874725470?referer=di&ht=edition
ACLUA,"American Civil Liberties Union Archives, 1950-1990."," (Wilmington, Del.: Scholarly Resources, 2002. 400 reels).","Wilmington, Del.: Scholarly Resources",2002,400,reels,
amcs,American Colonization Society Records.," (Wilmington: Scholarly Resources Inc., 1996. 324 reels)",Wilmington: Scholarly Resources Inc.,1996,324,reels,
amip,American Indian Periodicals,,,,2000,microfiches,
alu,American labor unions' officers' reports.," (Sanford, NC: Microfilming Corp. of America, 1982. 1641 microfiches)","Sanford, NC: Microfilming Corp. of America",1982,1641,microfiches,
amam,"American Missionary Association Manuscripts, 1839-1882.", (261 reels),,,261,reels,
aps,American Periodical Series.," (Ann Arbor, MI: University Microfilms International, 1979. 287 reels)","Ann Arbor, MI: University Microfilms International",1979,287,reels,
awd,American Women's Diaries.," (New Canaan, CT: Readex Film Products. 83 reels)","New Canaan, CT: Readex Film Products",,83,reels,
aip,Amnesty International Publications.," (Zug, Switzerland: Inter Documentation Co., [1980]- .)","Zug, Switzerland: Inter Documentation Co.",[1980],159,microfiches,https://www.worldcat.org/title/amnesty-international-publications/oclc/219872957&referer=brief_results
ahm,Analecta Hymnica Medii Aevi. v. 1-55.," (Leipzig: O.R. Reisland, 1886-1922. 371 microfiches)",Leipzig: O.R. Reisland,,371,microfiches,
ASMMF,Anglo-Saxon Manuscripts in Microfiche Facsimile," (Binghamton, NY: Center for Medieval and Early Renaissance Studies, State University of New York at Binghamton, 1994. 167 fiches).","Binghamton, NY: Center for Medieval and Early Renaissance Studies, State University of New York at Binghamton",1994,167,fiches,
adr,"Annual Departmental Reports Relating to Kenya and the East Africa High Commission, 1903/4-1963."," (H.F. Morris. East Ardsley, Wakefield, West Yorkshire, England: Microform Ltd., 1983- . 118 reels)","H.F. Morris. East Ardsley, Wakefield, West Yorkshire, England: Microform Ltd.",1983- ,118,reels,
asc,"Anti-Slavery Collection: 18th-19th Centuries, From the Library of the Society of Friends, 1760-1978."," (London: World Microfilms, 1978. 25 reels)",London: World Microfilms,1978,25,reels,
asm,"Anti-slavery Materials: Regional Records and Other Pamphlets, 18th-19th Centuries: the Collection at John Rylands University Library, Manchester."," (London, England: World Microfilms Publications, 1989. 20 reels)","London, England: World Microfilms Publications",1989,20,reels,
ASPO,Anti-Slavery Propaganda in the Oberlin College Library.," (Woodbridge, Conn.: Primary Source Media, [1980?-1989]. 7,235 fiches).","Woodbridge, Conn.: Primary Source Media",[1980?-1989],7235,fiches,
arbf,Archives Biographiques Francaises., (Susan Bradley. London; New York: K.G. Saur. 1053 microfiches),Susan Bradley. London; New York: K.G. Saur,,1053,microfiches,
ABCP,"Archives of the British Conservative Party: Advisory Committee on Policy Correspondence, Minutes and Papers, 1946-1964."," (Reading, Berkshire; [Woodbridge, CT]: Primary Source Media, LTD., 1998. 92 fiches).","Reading, Berkshire; [Woodbridge, CT]: Primary Source Media, LTD.",1998,92,fiches,
ACBFWJR,"Archives of the Central British Fund for World Jewish Relief, 1933-1960."," (Reading, Berkshire, England ; Woodbridge, CT : Research Publications, 1989. 74 reels)","Reading, Berkshire, England ; Woodbridge, CT : Research Publications",1989,74,reels,
ASCPSS,Archives of the Soviet Communist Party and Soviet State.," (Cambridge, England] : State Archival Service of Russia [and] Hoover Institution on War, Revolution and Peace in association with Chadwyck-Healey Ltd., 1993-2004. 11,000 reels).","Cambridge, England] : State Archival Service of Russia [and] Hoover Institution on War, Revolution and Peace in association with Chadwyck-Healey Ltd.",1993-2004,11000,reels,
abi,Archivio Biografico Italiano., (Munchen; New York: K.G. Saur) Series I: Fiche B1279 in Main Reading Room Series II: Fiche B2321 in Main Reading Room,Munchen; New York: K.G. Saur,1988-1990,1046,microfiches,https://www.worldcat.org/title/archivio-biografico-italiano-i-italian-biographical-archive/oclc/633324046&referer=brief_results
abe,"Archivo Biografico de Espana, Portugal e Iberoamerica."," (Victor Herrero Mediavilla, and L. Rosa Aguayo Nayle. Munchen; New York: K.G. Saur) c1986: Fiche B1267 in Main Reading Room c1990: Fiche B2320 in Main Reading Room","Victor Herrero Mediavilla, and L. Rosa Aguayo Nayle. Munchen; New York: K.G",1986-1988,1143,microfiches,https://www.worldcat.org/title/archivo-biografico-de-espana-portugal-e-iberoamerica-arquivo-biografico-de-espanha-portugal-e-ibero-america/oclc/489951483&referer=brief_results
ALNG,Art Looting and Nazi Germany: Records of the Fine Arts and Monuments.," (Bethesda, MD: University Publications of America, c2001. 20 reels).","Bethesda, MD: University Publications of America",c2001,20,reels,
AUCLS,"Australia: Colonial Life and Settlement. Part 1, Letters Sent, 1808-1825: The Colonial Secretary's Papers 1788-1825, From the State Records Authority of New South Wales.", (Marlborough: Adam Matthew.; c2002. 19 reels).,Marlborough: Adam Matthew.,c2002,19,reels,
AUCLS2,"Australia: Colonial Life and Settlement. Part 2 Special Bundles (Topic Collections), Proclamations, Orders and Related Records, 1789-1825: The Colonial Secretary's Papers 1788-1825, From the State Records Authority of New South Wales.", (Marlborough: Adam Matthew.; c2002. 21 reels).,Marlborough: Adam Matthew.,c2002,21,reels,
AUCLS2,"Australia, Colonial Life and Settlement Part 3, Letters Received, 1788-1825: The Colonial Secretary's Papers 1788-1825, From the State Records Authority of New South Wales.", (Marlborough: Adam Matthew.; c2002. 32 reels).,Marlborough: Adam Matthew.,c2002,32,reels,
auba,Australasian Biographical Archive.," (Munchen; New York: K.G. Saur, 1990)",Munchen; New York: K.G. Saur,1990-1996,542,microfiches,https://www.worldcat.org/title/australasian-biographical-archive-anzo-ba-australasiatisches-biographisches-archiv/oclc/877415686&referer=brief_results
abyz,Author Index of Byzantine Studies.," (Zug, Switzerland: IDC; New York: Distributed in the U.S. by Clearwater Publishing Co., 1986-. 5 microfiches)","Zug, Switzerland: IDC; New York: Distributed in the U.S. by Clearwater Publishing Co.",1986-,5,microfiches,
blb,Babeuf et le Babouvisme: A Microfiche Collection of Materials by and about Babeuf.," (Paris: Hachette, 1974. 164 microfiches)",Paris: Hachette,1974,164,microfiches,
bht,Baedeker's Handbook(s) for Travelers.," (Westport, CT: Greenwood Press, 1975. 2,200 microfiches)","Westport, CT: Greenwood Press",1975,2200,microfiches,
bup,Belgian Underground Press in WWII.," (Bethesda, MD: University Publications of America, 1989. 560 microfiches)","Bethesda, MD: University Publications of America",1989,560,microfiches,
bavb,Biografisch Archief van de Benelux.," (Munchen: Saur, [1992?]-[1994?]. 756 microfiches)",Munchen: Saur,[1992?]-[1994?],756,microfiches,
BECSJH,Birobidzhan: An Experiment to Create a Soviet Jewish Homeland.," (Leiden; New York : IDC Publishers, 2001. 941 microfiches, 30 microfilm reels)",Leiden; New York : IDC Publishers,2001,941,reels,
bap,"Black Abolitionist Papers, 1830-1865.", (17 reels),,1981,17,reels,https://www.worldcat.org/title/black-abolitionist-papers-1830-1865/oclc/7994795&referer=brief_results
bbd,"Black Biographical Dictionaries, 1790-1950."," (Alexandria, Va.: Chadwyck-Healey Inc., 1987. 1068 microfiches)","Alexandria, Va.: Chadwyck-Healey Inc.",1987,1068,microfiches,
BDSCEP,"Black Death: Sources Concerning the European Plague. Series one, Rare Printed Sources from the Herzog August Bibliothek, Wolfenbuittel, c1470-1822."," (Marlborough, Wiltshire, England: Adam Matthew Publications, 1994. 34 reels).","Marlborough, Wiltshire, England: Adam Matthew Publications",1994,34,reels,
BLACKPD,Black Panther Documents.," (Sunnyvale, CA: BMI Imaging Systems; New York: Distributed by Norman Ross Pub, 1994. 66 reels)","Sunnyvale, CA: BMI Imaging Systems; New York: Distributed by Norman Ross Pub",1994,66,reels,
BPM14,The Black Power Movement [Pts. 1-4].," (Bethesda, MD: University Publications of America, 2000. 55 reels).","Bethesda, MD: University Publications of America",2000,55,reels,
BLAW,"Black Workers in the Era of the Great Migration, 1916-1929"," (Frederick, MD: University Publications of America, 1985. 25 reels).","Frederick, MD: University Publications of America",1985,25,reels,
BLEP,"The Blenheim Papers from the British Library, London: The Papers of the 1st Duke of Marlborough, Sarah, Duchess of Marlborough, and the 3rd Earl of Sunderland."," (Brighton, Sussex, England: Harvester Press Microform Publications Ltd., 1987-1988. 62 reels).","Brighton, Sussex, England: Harvester Press Microform Publications Ltd.",1987-1988,62,reels,
BRWEGM,"Brazil's Popular Groups, 1966-1986."," (Washington, D.C.: Library of Congress Photoduplication Service, 1988. 28 reels).","Washington, D.C.: Library of Congress Photoduplication Service",1988,28,reels,
BONC,"The Boris I. Nicolaevsky Collection in the Archives of the Hoover Institution on War, Revolution, and Peace."," (Stanford, CA: The Institution; Ann Arbor, Mich. : Released by U.M.I., 1995. 476 reels).","Stanford, CA: The Institution; Ann Arbor, Mich. : Released by U.M.I.",1995,476,reels,
bba,British Biographical Archive.," (Laureen Baillie and Paul Sieveking. Munchen; New York: K.G. Saur, 1984- . 1158 microfiches)",Laureen Baillie and Paul Sieveking. Munchen; New York: K.G. Saur,1984- ,1158,microfiches,
BFOJC,"British Foreign Office Japan Correspondence, 1856-1905."," (Wilmington, Del.: Scholarly Resources, inc., [1974?]. 375 reels).","Wilmington, Del.: Scholarly Resources, inc.",[1974?],375,reels,
bge,British General Election Campaign Guides: 1885...1950. (British Political Sources Series).," (Hassocks, Sussex, England: Harvester Press, 1976. 81 microfiches)","Hassocks, Sussex, England: Harvester Press",1976,81,microfiches,
BLMCUL,British Literary Manuscripts from Cambridge University Library.," . (Brighton, Sussex, England: Harvester Microform ;Woodbridge, Conn.; Berkshire, Reading [England]: Primary Source Microfilm, 1984. 84 reels).",". (Brighton, Sussex, England: Harvester Microform ;Woodbridge, Conn.; Berkshire, Reading [England]: Primary Source Microfilm",1984,84,reels,
bop,British Official Publications Not Published by HMSO. 1980-.," (Cambridge, England: Chadwyck-Healey, 1981- . 23,625 microfiches)","Cambridge, England: Chadwyck-Healey",1981- ,23625,microfiches,
bop,British Official Publications Not Published by HMSO. 1980-.," (Cambridge, England: Chadwyck-Healey, 1981- . 23,625 microfiches)","Cambridge, England: Chadwyck-Healey",1981- ,23625,microfiches,
BARGASPI,"Bund Archive in RGASPI, Moscow."," (Leiden, The Netherlands: IDC Publishers, 1999. 2,162 microfiches).","Leiden, The Netherlands: IDC Publishers",1999,2162,microfiches,
BUPP,Butler Plantation Papers: The Papers of Pierce Butler (1744-1822) and Successors from the Historical Society of Pennsylvania.," (Marlborough: Adam Matthew, 1996. 22 reels).",Marlborough: Adam Matthew,1996,22,reels,
